X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
-73.9676206022,40.7845942350,23B-PM-1012-01,23B,PM,2018-10-12,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9676206022477 40.784594234984),,19,4,19,13
-73.9741846414,40.7762518164,12B-PM-1018-01,12B,PM,2018-10-18,1,Adult,Gray,,Gray+,,Ground Plane,FALSE,Climbing up rocks,True,True,True,True,True,climbing (up rocks),True,True,True,True,True,True,True,True,,POINT (-73.9741846413977 40.7762518164182),,19,4,19,13
-73.9703914127,40.7722457975,10G-PM-1017-01,10G,PM,2018-10-17,1,Adult,Gray,,Gray+,,Ground Plane,FALSE,,True,True,True,True,True,standing,True,True,True,True,True,True,True,True,,POINT (-73.9703914126866 40.7722457975176),,19,4,19,13
-73.9707900567,40.7771670550,14D-AM-1014-09,14D,AM,2018-10-14,9,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Above Ground,30,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9707900566519 40.7771670550089),,19,4,19,13
-73.9750864154,40.7671990131,3F-AM-1006-01,03F,AM,2018-10-06,1,Adult,Gray,,Gray+,,Ground Plane,FALSE,just to right when enter sanctuary,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.975086415444 40.7671990131313),,19,4,19,13
-73.9557172337,40.7921125658,35G-PM-1006-01,35G,PM,2018-10-06,1,Adult,Black,Cinnamon,Black+Cinnamon,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9557172336815 40.7921125657722),,19,4,19,13
-73.9691031095,40.7706693835,9I-AM-1014-02,09I,AM,2018-10-14,2,Adult,Gray,,Gray+,"Very far, so appx",Above Ground,35,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9691031094688 40.7706693835189),,19,4,19,13
-73.9615602806,40.7945662186,35A-PM-1013-08,35A,PM,2018-10-13,8,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9615602805554 40.7945662185621),,19,4,19,13
-73.9598084795,40.7976165435,39A-PM-1014-01,39A,PM,2018-10-14,1,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9598084794625 40.7976165434502),,19,4,19,13
-73.9746933853,40.7733138669,9C-PM-1006-05,09C,PM,2018-10-06,5,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,w/ dog,POINT (-73.9746933852572 40.773313866931),,19,4,19,13
-73.9645147012,40.7772566834,17I-AM-1014-04,17I,AM,2018-10-14,4,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9645147011741 40.7772566833799),,19,4,19,13
-73.9714089647,40.7767916588,14D-AM-1014-12,14D,AM,2018-10-14,12,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9714089647431 40.7767916587915),,19,4,19,13
-73.9642379943,40.7774792521,17I-PM-1017-01,17I,PM,2018-10-17,1,Juvenile,Cinnamon,White,Cinnamon+White,,Above Ground,15,,True,True,True,True,True,,True,True,True,True,True,True,True,True,"was in a tree,so i couldn't really tell",POINT (-73.9642379942652 40.7774792520738),,19,4,19,13
-73.9582850206,40.7978975856,39B-PM-1014-01,39B,PM,2018-10-14,1,Adult,Gray,White,Gray+White,White belly,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9582850206205 40.7978975855555),,19,4,19,13
-73.9582643954,40.8000460061,42A-AM-1019-01,42A,AM,2018-10-19,1,Juvenile,Gray,White,Gray+White,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.95826439540551 40.8000460061272),,19,4,19,13
-73.9771335416,40.7668431485,2E-AM-1010-01,02E,AM,2018-10-10,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9771335416403 40.7668431485224),,19,4,19,13
-73.9692190295,40.7763366309,14F-AM-1007-02,14F,AM,2018-10-07,2,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9692190295442 40.7763366309154),,19,4,19,13
-73.9736165917,40.7724543901,8D-AM-1007-04,08D,AM,2018-10-07,4,Adult,Gray,,Gray+,,Above Ground,3,,True,True,True,True,True,chasing squirrel #3,True,True,True,True,True,True,True,True,,POINT (-73.9736165917399 40.7724543901497),,19,4,19,13
-73.9642288873,40.7820439984,22F-AM-1007-06,22F,AM,2018-10-07,6,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9642288873015 40.7820439983567),,19,4,19,13
-73.9528462779,40.7923843044,36I-AM-1017-04,36I,AM,2018-10-17,4,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9528462779437 40.7923843043685),,19,4,19,13
-73.9609704651,40.7938786855,34B-AM-1013-03,34B,AM,2018-10-13,3,Adult,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,15,,True,True,True,True,True,hopping,True,True,True,True,True,True,True,True,,POINT (-73.9609704650925 40.7938786854735),,19,4,19,13
-73.9534509628,40.7921084225,36I-AM-1017-07,36I,AM,2018-10-17,7,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,True,True,True,True,True,"chasing (#8),scratching",True,True,True,True,True,True,True,True,,POINT (-73.9534509627885 40.7921084224711),,19,4,19,13
-73.9577113026,40.7904332453,32G-PM-1013-02,32G,PM,2018-10-13,2,Juvenile,Black,,Black+,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9577113026056 40.7904332453456),,19,4,19,13
-73.9808247660,40.7689408831,2A-PM-1019-01,02A,PM,2018-10-19,1,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,True,True,True,True,True,runs from,True,True,True,True,True,True,True,True,,POINT (-73.9808247660048 40.7689408831287),,19,4,19,13
-73.9591667163,40.7937602122,35D-PM-1013-07,35D,PM,2018-10-13,7,Juvenile,Gray,White,Gray+White,,Above Ground,12,tree,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.95916671628011 40.7937602121568),,19,4,19,13
-73.9714243547,40.7713973982,8G-PM-1017-02,08G,PM,2018-10-17,2,Adult,Gray,,Gray+,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9714243547433 40.7713973982359),,19,4,19,13
-73.9629383420,40.7889383725,29C-AM-1007-02,29C,AM,2018-10-07,2,Adult,Black,Gray,Black+Gray,,Above Ground,10,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9629383420274 40.7889383725489),,19,4,19,13
-73.9600964586,40.7952339524,36B-PM-1013-02,36B,PM,2018-10-13,2,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9600964585868 40.7952339524416),,19,4,19,13
-73.9713519158,40.7798470143,17B-AM-1010-01,17B,AM,2018-10-10,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9713519158027 40.7798470142991),,19,4,19,13
-73.9532873005,40.7935203268,37H-PM-1006-04,37H,PM,2018-10-06,4,,,,+,,Above Ground,43,tree,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.953287300494 40.793520326789),,19,4,19,13
-73.9626120417,40.7905126359,30C-AM-1014-02,30C,AM,2018-10-14,2,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,on a rock,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9626120417397 40.7905126358626),,19,4,19,13
-73.9764016031,40.7689894344,4D-PM-1008-05,04D,PM,2018-10-08,5,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9764016030666 40.7689894344251),,19,4,19,13
-73.9694856390,40.7805191591,18C-PM-1018-05,18C,PM,2018-10-18,5,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.969485639023 40.780519159069),,19,4,19,13
-73.9741621947,40.7752481472,11C-PM-1018-01,11C,PM,2018-10-18,1,Adult,Gray,White,Gray+White,,Above Ground,10,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9741621946917 40.7752481472025),,19,4,19,13
-73.9792091200,40.7685845475,2B-PM-1013-06,02B,PM,2018-10-13,6,Adult,Gray,,Gray+,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,sat there! in front of us,POINT (-73.9792091200122 40.7685845475313),,19,4,19,13
-73.9762257701,40.7744032758,9A-AM-1013-08,09A,AM,2018-10-13,8,Adult,,,+,,,,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9762257701293 40.7744032758323),,19,4,19,13
